Topic: 0
place : 0.345129370254
time : 0.18419575571
little : 0.100568850116
north : 0.0954971303658
good : 0.0745138720833
yelp : 0.0723067011881
fish : 0.0624305563153
tachi : 0.02204309948
roll : 0.0218813286346
rolls : 0.0214333358523
Topic: 1
place : 0.231154080303
good : 0.191257958036
fish : 0.135742924445
roll : 0.11769042894
rolls : 0.112349734984
tachi : 0.0878267995165
time : 0.031476084492
little : 0.0312968658788
north : 0.0307931436765
yelp : 0.0304119797281
Topic: 2
roll : 0.255022548046
rolls : 0.23772074295
fish : 0.116178522419
little : 0.0841980392906
good : 0.0731243779931
time : 0.0622557308857
tachi : 0.0579569845733
yelp : 0.0485667853248
north : 0.0484456205778
place : 0.0165306479402
Topic: 3
tachi : 0.279859804952
north : 0.204139153382
yelp : 0.203919784771
little : 0.125284850278
good : 0.0742805023633
place : 0.022876390626
time : 0.0227524581517
roll : 0.0226204553664
fish : 0.0222402102556
rolls : 0.0220263898542
Topic: 4
tachi : 0.292330513241
time : 0.290282141124
place : 0.053981301623
roll : 0.0528834555372
rolls : 0.0521760089097
good : 0.0519347156611
north : 0.051911343465
little : 0.0518390353502
yelp : 0.0513688524779
fish : 0.0512926326106
