Topic: 0
best : 0.197207972283
try : 0.13650378323
great : 0.13525126974
beer : 0.130229665509
place : 0.118504235426
service : 0.0884471828703
food : 0.0839687503538
good : 0.066638607176
like : 0.0308473847685
really : 0.0124011486432
Topic: 1
good : 0.303542464189
place : 0.154562924251
beer : 0.124253018467
really : 0.11425186352
food : 0.0832186294849
try : 0.0701144681137
great : 0.0572653844318
like : 0.0491356605901
best : 0.0336146729867
service : 0.0100409139655
Topic: 2
beer : 0.258444781754
like : 0.252024013062
food : 0.106505445826
really : 0.0905298201493
good : 0.0783150268229
best : 0.0682112342778
great : 0.0681691967774
service : 0.0327360299854
try : 0.0319439655579
place : 0.0131204857863
Topic: 3
place : 0.256399284632
try : 0.207186957477
like : 0.189142756286
beer : 0.0540104133776
good : 0.0519925231491
food : 0.0491469528142
great : 0.0485324601003
service : 0.0482161722819
best : 0.0481771571103
really : 0.0471953227721
Topic: 4
service : 0.231524633434
great : 0.172867277861
food : 0.138004959364
beer : 0.134905563076
good : 0.0830175216277
place : 0.0796629021639
best : 0.0647853081732
really : 0.0617624995326
like : 0.0175695746728
try : 0.0158997600944
